"Student_ID","Name","Date_of_Birth","Gender","Contact_No","Dept_ID"
"23101128016","Sakshi Kumari","2004-03-15","F","9123456701",101
"23101128026","Rishika Kumari","2004-07-22","F","9123456702",101
"23101128027","Salini Kumari","2004-01-10","F","9123456703",101
"23101128036","Dipalee Singh","2003-11-05","F","9123456704",101
"23101128038","Manika Kumari","2004-05-18","F","9123456705",101
"23101128039","Usha Kumari","2003-09-27","F","9123456706",101
"23101128045","Chandni Kumari","2004-02-14","F","9123456707",101
"23101128046","Muskan Kumari","2004-06-30","F","9123456708",101
"23101128050","Nikita Suman","2003-12-09","F","9123456709",101
"23101128051","Viniti Kumari","2004-08-21","F","9123456710",101
"23105128001","Shrishty Priya","2004-03-12","F","9123456701",105
"23105128008","Asha Kumari","2004-07-25","F","9123456702",105
"23105128011","Ananya Kumari","2004-01-18","F","9123456703",105
"23105128012","Malti Kumari","2003-11-09","F","9123456704",105
"23105128013","Komal Kumari","2004-05-30","F","9123456705",105
"23105128018","Kajal Kumari","2004-08-14","F","9123456706",105
"23105128020","Deepshikha Singh","2003-12-22","F","9123456707",105
"23105128022","Jyoti Kumari","2004-02-27","F","9123456708",105
"23105128034","Neha Kumari","2004-06-16","F","9123456709",105
"23105128035","Shweta Kumari","2003-10-05","F","9123456710",105
"23110128003","Priti Kumari","2004-04-06","F","9347695823",110
"23110128007","Sonam Priya","2004-06-19","F","9670928156",110
"23110128010","Nitu Kumari","2004-02-22","F","9013251489",110
"23110128011","Kalpana Chawla","2003-11-30","F","9124362590",110
"23119128007","Laxmi Kumari","2004-05-18","F","9125600044",119
"23119128008","Anisha Kumari","2004-03-27","F","9125600055",119
"23157128001","Simran Kumari","2004-03-12","F","9126700011",157
"23157128006","Priya Kumari","2004-05-09","F","9126700044",157
"23157128007","Shalini Shreya","2003-09-27","F","9126700055",157
